id,company_name,broad_sector,market_cap_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,free_cash_flow,roe,roce,fcf_yield,pe_ratio_sector,pb_ratio_sector,ev_ebitda_sector,valuation_flag
HAVELLS,Havells India Ltd,Industrials,2521508.87,45.41,14.08,30.73,2.6,335.0,17.067275412917954,19.90967741935484,0.01,47.155,7.45,22.365000000000002,Fairly Valued
HCLTECH,HCL Technologies Ltd,Information Technology,412593.29,63.63,5.44,31.21,1.99,15840.0,23.01393141233172,27.05313357020305,3.84,63.63,6.08,29.94,Fairly Valued
HDFCBANK,HDFC Bank Ltd,Financials,808359.03,49.42,4.4,22.54,4.33,35669.0,14.33974005030719,4.801033923800871,4.41,33.57,7.225,24.325,Fairly Valued
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,47027.6,50.59,11.28,31.63,3.22,-2893.0,10.732306013909724,645.952868852459,-6.15,33.57,7.225,24.325,Overvalued
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,1593400.88,53.86,12.6,28.27,1.91,3095.0,21.14243742584327,173.7066375307293,0.19,38.005,8.065,26.455,Overvalued
HINDALCO,Hindalco Industries Ltd,Materials,722281.1,56.45,9.32,27.63,0.98,9789.0,9.567011474761175,113.57952517507476,1.36,55.62,9.21,26.58,Overvalued
HINDUNILVR,"Hindustan Unilever Ltd
",Consumer Staples,548890.59,34.51,11.88,7.52,4.32,10145.0,20.074973642078955,87.32306174338734,1.85,50.95,8.07,17.19,Fairly Valued
ICICIBANK,ICICI Bank Ltd,Financials,1319221.86,25.76,6.2,38.28,3.43,12547.0,17.99027109750765,5.11888931768417,0.95,33.57,7.225,24.325,Fairly Valued
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,1271789.21,49.0,7.86,36.96,3.46,486.0,15.7230643179025,145.22875816993462,0.04,33.57,7.225,24.325,Overvalued
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,1596987.55,20.83,12.38,22.57,0.35,105.0,7.732848705134029,753.9778779188856,0.01,33.57,7.225,24.325,Fairly Valued
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,1040632.92,76.23,7.87,24.64,4.27,9424.0,892.568306010929,4953.540772532189,0.91,38.005,8.065,26.455,Fairly Valued
INDUSINDBK,IndusInd Bank Ltd,Financials,1807433.12,8.99,3.7,28.79,1.42,-17468.0,14.252273197764223,3.475962286021232,-0.97,33.57,7.225,24.325,Fairly Valued
INFY,Infosys Ltd,Information Technology,1112279.92,35.99,8.97,36.7,4.1,20117.0,29.788006718416632,32.906970717802544,1.81,63.63,6.08,29.94,Fairly Valued
IOC,"Indian Oil Corporation
",Energy,1418164.33,28.61,4.24,33.71,1.25,39635.0,23.53162465856491,18.915027923238775,2.79,44.915,6.0,24.86,Fairly Valued
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,1258520.29,60.44,5.74,32.47,1.08,667.0,34.39628482972136,42.82674772036474,0.05,38.005,8.065,26.455,Fairly Valued
IRFC,Indian Railway Finance Corporation Ltd,Financials,2618348.58,9.81,3.91,16.66,2.82,7906.0,13.038085361638096,5.746523336036321,0.3,33.57,7.225,24.325,Undervalued
ITC,"ITC Ltd
",Consumer Staples,332245.58,47.85,3.24,17.19,4.26,18742.0,27.851074395694365,32.63868466782516,5.64,50.95,8.07,17.19,Fairly Valued
JINDALSTEL,Jindal Steel & Power Ltd,Materials,396587.97,77.64,5.73,20.22,1.9,-2336.0,13.410506363390198,12.14055405672172,-0.59,55.62,9.21,26.58,Fairly Valued
JIOFIN,Jio Financial Services Ltd,Financials,1401774.99,34.24,9.91,26.41,3.09,763.0,1.153456416595399,1.104587235082323,0.05,33.57,7.225,24.325,Overvalued
JSWENERGY,JSW Energy Ltd,Energy,110870.53,24.79,9.88,35.95,1.25,-1963.0,8.280529953917052,7.15389752886175,-1.77,44.915,6.0,24.86,Fairly Valued
JSWSTEEL,JSW Steel Ltd,Materials,2612646.38,69.27,4.37,35.49,2.94,-2389.0,11.5528718021347,12.064375531985537,-0.09,55.62,9.21,26.58,Fairly Valued
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,430223.52,32.9,1.15,15.52,1.51,6766.0,14.013018188532914,7.113136699541475,1.57,33.57,7.225,24.325,Undervalued
LICI,Life Insurance Corporation of India,Financials,183583.67,30.67,8.1,12.21,3.77,853.0,49.44710986501021,39.05035832114759,0.46,33.57,7.225,24.325,Fairly Valued
LODHA,Macrotech Developers Ltd,Real Estate,1209919.99,51.95,7.65,34.33,4.05,-435.0,8.895758200240426,9.77867842810029,-0.04,49.105000000000004,10.985,22.369999999999997,Fairly Valued
LT,Larsen & Toubro Ltd,Industrials,1124597.5,30.8,2.48,16.63,1.26,20445.0,77.66510140873214,118.53411200144868,1.82,47.155,7.45,22.365000000000002,Undervalued
LTIM,LTIMindtree Ltd,Information Technology,1347046.9,64.52,2.38,18.9,4.43,1752.0,22.904386052552702,25.20711666440309,0.13,63.63,6.08,29.94,Fairly Valued
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,4173085.48,14.22,0.81,29.08,2.37,-11245.0,18.537543435564285,11.535315751242589,-0.27,38.005,8.065,26.455,Fairly Valued
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,1503863.63,20.78,8.26,29.97,1.78,4936.0,15.750385351954783,15.59092764270305,0.33,38.005,8.065,26.455,Fairly Valued
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,146151.16,9.54,2.38,33.39,2.18,925.0,11.546549416937488,11.96258436964212,0.63,38.005,8.065,26.455,Fairly Valued
NAUKRI,Info Edge (India) Ltd,Communication Services,563824.44,32.88,8.33,11.87,4.29,-150.0,1.9661621835965897,1.999475547397404,-0.03,48.33,7.305,25.79,Fairly Valued
NESTLEIND,Nestle India Ltd,Consumer Staples,1677775.19,54.96,14.34,15.49,3.85,2938.0,117.75449101796409,143.14789687924016,0.18,50.95,8.07,17.19,Fairly Valued
NHPC,"NHPC Ltd
",Energy,1740404.25,71.17,13.74,18.26,1.68,970.0,10.40773086662188,5.083984676480081,0.06,44.915,6.0,24.86,Fairly Valued
NTPC,NTPC Ltd,Energy,907823.11,30.8,5.24,37.12,0.06,8644.0,13.273598407068633,8.86082631000827,0.95,44.915,6.0,24.86,Fairly Valued
ONGC,Oil & Natural Gas Corpn Ltd,Energy,390111.05,18.15,10.36,11.72,1.11,42060.0,16.940398136885513,15.108995188179115,10.78,44.915,6.0,24.86,Fairly Valued
PFC,Power Finance Corporation Ltd,Financials,2011885.81,35.6,6.59,15.67,0.42,-101229.0,26.1609340860332,3.4803988753078574,-5.03,33.57,7.225,24.325,Fairly Valued
PIDILITIND,Pidilite Industries Ltd,Materials,162274.18,36.12,12.3,5.36,1.01,955.0,20.780302129178065,26.93139151211742,0.59,55.62,9.21,26.58,Fairly Valued
PNB,Punjab National Bank,Financials,1825925.6,19.29,10.91,23.64,1.32,-29445.0,61.320565191187306,,-1.61,33.57,7.225,24.325,Fairly Valued
POWERGRID,Power Grid Corporation of India Ltd,Energy,372584.24,64.39,5.1,23.07,3.09,24176.0,17.870011245496066,12.689046909266978,6.49,44.915,6.0,24.86,Fairly Valued
RECLTD,REC Ltd,Financials,291917.42,31.49,4.59,23.95,2.18,-59554.0,20.39653929343908,9.294489608054098,-20.4,33.57,7.225,24.325,Undervalued
RELIANCE,"Reliance Industries Ltd
",Energy,432472.71,58.34,3.25,24.96,4.21,45207.0,9.958650553699458,8.915648413697072,10.45,44.915,6.0,24.86,Fairly Valued
SBILIFE,SBI Life Insurance Company Ltd,Financials,886097.71,69.98,9.48,31.04,1.62,-2099.0,12.704588140595655,1.140327341024953,-0.24,33.57,7.225,24.325,Overvalued
SHREECEM,Shree Cement Ltd,Materials,3154358.33,25.87,1.21,26.58,3.2,1929.0,8.370767521615225,11.722348942260387,0.06,55.62,9.21,26.58,Fairly Valued
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,868933.47,68.53,7.91,28.82,1.86,-31359.0,15.116350338120824,4.0643421983857175,-3.61,33.57,7.225,24.325,Overvalued
SIEMENS,Siemens Ltd,Industrials,1191331.95,33.32,9.25,30.88,3.69,1168.0,17.698769290877124,17.7411102583781,0.1,47.155,7.45,22.365000000000002,Fairly Valued
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,1339586.09,37.9,6.71,21.41,3.88,11372.0,15.094161810671148,15.627194096293753,0.85,47.06,7.195,24.67,Undervalued
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,350543.35,54.79,7.14,24.84,1.87,26.0,7.566793298872766,9.762465444865365,0.01,50.95,8.07,17.19,Fairly Valued
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,1504106.64,67.07,0.93,15.35,3.65,45133.0,37.45613415294755,16.79050889790821,3.0,38.005,8.065,26.455,Fairly Valued
TATAPOWER,"Tata Power Company Ltd
",Energy,1647269.48,14.5,3.48,12.02,0.49,3569.0,13.227840276919272,8.076006740658958,0.22,44.915,6.0,24.86,Undervalued
TATASTEEL,"Tata Steel Ltd
",Materials,369110.65,48.97,9.23,38.87,1.0,6048.0,-5.334926929972293,6.903867304610952,1.64,55.62,9.21,26.58,Fairly Valued
TCS,Tata Consultancy Services Ltd,Information Technology,461188.15,78.69,6.08,29.94,1.62,50429.0,50.944313673485176,60.2081007004365,10.93,63.63,6.08,29.94,Fairly Valued
TECHM,Tech Mahindra Ltd,Information Technology,3021095.64,57.4,7.43,7.85,0.64,5058.0,8.987963553189097,9.207012257755256,0.17,63.63,6.08,29.94,Fairly Valued
TITAN,"Titan Company Ltd
",Consumer Discretionary,1793769.72,10.13,10.51,21.0,3.1,1506.0,37.2192057915469,18.8916977649372,0.08,38.005,8.065,26.455,Fairly Valued
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,1870170.39,46.4,6.43,27.93,1.22,3106.0,24.15402567094516,23.533737819452107,0.17,47.06,7.195,24.67,Fairly Valued
TRENT,Trent Ltd,Consumer Discretionary,571322.04,8.65,11.82,34.65,3.46,841.0,36.30776794493609,22.33293248582718,0.15,38.005,8.065,26.455,Fairly Valued
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,266591.41,46.1,5.62,7.1,3.07,-2254.0,26.22346698113208,13.799939005794448,-0.85,38.005,8.065,26.455,Fairly Valued
